Numero_iteracion,Funcion,Original,Simplificado,RMSE,R2,tiempo
22,Y/(2*(1+sigma)),((-0.000) + (1.261 * ((sin(((-0.000) * X2)) - (0.768 * X1)) / (((-1.936) * X2) - ((2.208 * X1) / (1.140 * X1)))))),0.968448*X1/(1.936*X2 + 1.93684210526316),2.2249646132011498e-05,0.9999999998048795,41.58554124832153
14,Y/(2*(1+sigma)),((-0.000) + (0.451 * (((0.385 * X1) + ((0.001 * X1) * (0.006 * X2))) / ((((-0.462) * X2) / ((-1.329) * X2)) - ((-0.347) * X2))))),X1*(2.706e-6*X2 + 0.173635)/(0.347*X2 + 0.347629796839729),2.2272072349198887e-05,0.9999999997621942,41.826613664627075
0,Y/(2*(1+sigma)),(0.000 + ((-0.000) * (((1.401 * X1) * ((0.499 * X1) / sin(((-0.002) * X2)))) / ((0.392 * X1) + ((0.693 * X1) / (1.771 * X2)))))),0,2.227209023290367e-05,0.9999999997941821,47.31737947463989
5,Y/(2*(1+sigma)),((-0.000) + (0.690 * (((0.273 * X1) + (sin((0.018 * X1)) + (0.754 * X1))) / (((0.392 * X1) / (0.273 * X1)) - ((-1.439) * X2))))),(0.70863*X1 + 0.69*sin(0.018*X1))/(1.439*X2 + 1.43589743589744),2.2606222784037834e-05,0.9999999996600292,48.508570194244385
11,Y/(2*(1+sigma)),((-0.000) + ((-0.140) * (((-2.525) * X1) / ((0.707 * X2) + ((0.751 * X2) / (1.063 * X2)))))),0.3535*X1/(0.707*X2 + 0.706491063029163),2.576938199556565e-05,0.9999999987976355,41.41609001159668
9,Y/(2*(1+sigma)),((-0.000) + (0.089 * ((sin(((((-0.298) * X2) * ((-0.298) * X2)) * (0.010 * X1))) + (5.629 * X1)) / (exp(((-0.057) * X2)) - ((-1.051) * X2))))),(0.500981*X1 + 0.089*sin(0.00088804*X1*X2**2))*exp(0.057*X2)/(1.051*X2*exp(0.057*X2) + 1),4.4600430684837044e-05,0.9999999856206314,56.271756649017334
7,Y/(2*(1+sigma)),(0.000 + (51.484 * (((((-0.399) * X1) + ((-0.045) * X1)) + (((-0.399) * X1) + (0.852 * X1))) / (sin(exp(((-0.096) * X2))) - ((-0.895) * X2))))),0.463355999999998*X1/(0.895*X2 + sin(exp(-0.096*X2))),0.00010376938215106112,0.9999998025444259,50.429612159729004
28,Y/(2*(1+sigma)),((-0.000) + ((-0.035) * (((((1.280 * X2) / (0.079 * X2)) * ((-0.890) * X1)) - ((0.079 * X2) ^ 2)) / (exp(((-0.053) * X2)) - ((-1.045) * X2))))),(0.504708860759494*X1 + 0.000218435*X2**2)*exp(0.053*X2)/(1.045*X2*exp(0.053*X2) + 1),0.00010969566672333396,0.9999997708642815,47.62583684921265
6,Y/(2*(1+sigma)),(0.093 + ((-0.089) * (((((-5.545) * X1) + (1.060 * X2)) + cos(((-0.113) * X2))) / ((1.052 * X2) + exp(((-0.072) * X2)))))),(0.097836*X2*exp(0.072*X2) + (0.493505*X1 - 0.09434*X2 - 0.089*cos(0.113*X2))*exp(0.072*X2) + 0.093)/(1.052*X2*exp(0.072*X2) + 1),0.00013761489262751705,0.999999621119438,61.641438245773315
27,Y/(2*(1+sigma)),(0.000 + (0.077 * (((2.752 * X1) / exp((0.327 * X2))) + ((0.539 * X1) + ((2.713 * X1) / (exp((0.667 * X2)) ^ 2)))))),0.041503*X1 + 0.208901*X1*exp(-1.334*X2) + 0.211904*X1*exp(-0.327*X2),0.00017815782356051627,0.9999993457928205,46.70791459083557
29,Y/(2*(1+sigma)),((-0.000) + (0.235 * ((((-2.404) * X1) - ((1.267 * X1) / ((-1.317) * X2))) / (((exp(((-1.121) * X2)) - (0.170 * X2)) ^ 2) + ((-1.381) * X2))))),X1*(0.56494*X2 - 0.226078208048595)*exp(2.242*X2)/(X2*(1.381*X2*exp(2.242*X2) - (0.17*X2*exp(1.121*X2) - 1)**2)),0.0005973414023410943,0.9999922424292167,45.88483715057373
17,Y/(2*(1+sigma)),((-0.000) + ((-0.022) * ((((-2.037) * X1) - (((-1.807) * X1) / exp((0.950 * X2)))) / sin(sin((0.120 * X2)))))),X1*(0.044814*exp(0.95*X2) - 0.039754)*exp(-0.95*X2)/sin(sin(0.12*X2)),0.0010451708379178143,0.9999761106847019,68.83011746406555
20,Y/(2*(1+sigma)),((-0.000) + ((-0.089) * ((((2.476 * X1) / ((-0.645) * X2)) - (0.335 * X1)) + (((0.409 * X1) / ((-0.645) * X2)) / sin(((-0.474) * X2)))))),X1*(0.029815*X2 + 0.341649612403101 - 0.0564356589147287/sin(0.474*X2))/X2,0.001409488126462508,0.9999565176530787,53.875871419906616
18,Y/(2*(1+sigma)),(0.000 + (3.267 * ((((0.648 * X1) / (5.643 * X2)) / cos((0.098 * X2))) - (((0.648 * X1) / (6.281 * X2)) / exp((0.972 * X2)))))),0.375157894736842*X1/(X2*cos(0.098*X2)) - 0.337050788091068*X1*exp(-0.972*X2)/X2,0.001429038827244986,0.9999552731523436,67.68465518951416
16,Y/(2*(1+sigma)),((-0.000) + (0.049 * ((((-0.978) * X1) - (((-0.899) * X1) / exp((1.009 * X2)))) / sin(sin(((-0.129) * X2)))))),X1*(0.047922*exp(1.009*X2) - 0.044051)*exp(-1.009*X2)/sin(sin(0.129*X2)),0.0014494281983347638,0.9999539949541895,68.3748390674591
2,Y/(2*(1+sigma)),(0.000 + ((-0.139) * ((((2.515 * X1) / ((-1.014) * X2)) + (((-0.135) * X1) + (((-0.303) * X1) * ((-0.020) * X2)))) / exp(exp(((-1.014) * X2)))))),X1*(0.139*X2*(0.135 - 0.00606*X2) + 0.344758382642998)*exp(-exp(-1.014*X2))/X2,0.0014512517803133694,0.9999538800704907,62.09390211105347
23,Y/(2*(1+sigma)),(0.024 + (0.714 * ((((0.328 * X1) - (0.027 * X2)) + ((((-0.109) * X2) ^ 2) ^ 2)) * (exp(((-1.351) * X2)) + exp(((-0.217) * X2)))))),(0.714*(1 + exp(-1.134*X2))*(0.328*X1 + 0.000141158161*X2**4 - 0.027*X2)*exp(1.351*X2) + 0.024*exp(1.568*X2))*exp(-1.568*X2),0.0016446356431105283,0.9999407927821107,61.85796880722046
26,Y/(2*(1+sigma)),((-0.000) + ((-0.087) * (((2.529 * X1) + ((0.677 * X1) / ((-0.730) * X2))) / ((sin((0.161 * X2)) ^ 2) - (0.589 * X2))))),X1*(0.220023*X2 - 0.0806835616438356)/(X2*(0.589*X2 - sin(0.161*X2)**2)),0.0019149821019001233,0.9999196367719894,47.07504916191101
25,Y/(2*(1+sigma)),(0.001 + ((-0.567) * ((((-0.386) * X1) / exp((0.199 * X2))) + (((-0.473) * X1) / exp((1.323 * X2)))))),0.268191*X1*exp(-1.323*X2) + 0.218862*X1*exp(-0.199*X2) + 0.001,0.0022009417490477814,0.9998938566665225,55.146040201187134
8,Y/(2*(1+sigma)),(0.006 + (0.019 * ((((2.788 * X1) / ((-0.525) * X2)) / (0.755 * X2)) + (((0.933 * X1) + ((-0.102) * X2)) + ((2.828 * X1) / (0.151 * X2)))))),0.017727*X1 + 0.355841059602649*X1/X2 - 0.133641122674235*X1/X2**2 - 0.001938*X2 + 0.006,0.0023001979420964993,0.999884043773264,42.52527165412903
3,Y/(2*(1+sigma)),((-0.000) + ((-0.208) * ((((-0.850) * X1) + ((1.130 * X1) / ((-0.615) * X2))) - ((exp((exp(((-0.615) * X2)) ^ 2)) ^ 2) * ((-0.815) * X1))))),X1*(X2*(0.1768 - 0.16952*exp(2*exp(-1.23*X2))) + 0.382178861788618)/X2,0.002445309470816857,0.9998689809316686,52.66794157028198
