Numero_iteracion,Funcion,Original,Simplificado,RMSE,R2,tiempo
10,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,((-0.000) + (0.001 * ((((0.627 * X2) / ((0.172 * X1) + ((-0.174) * X1))) / (2.525 * X4)) * (cos((1.000 * X3)) / ((-2.061) * X4))))),0.0602418320434663*X2*cos(1.0*X3)/(X1*X4**2),2.165749323517692e-05,0.9999999778747253,85.81205034255981
12,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,((-0.000) + ((-0.001) * ((cos((1.000 * X3)) / (2.303 * X1)) * (((0.660 * X2) / ((-0.240) * X4)) / (((-0.861) * X4) + (0.869 * X4)))))),0.149261832392531*X2*cos(1.0*X3)/(X1*X4**2),2.1680566810029284e-05,0.9999999798446362,83.99100589752197
13,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,(0.000 + (1.162 * ((cos(((-1.000) * X3)) / (((1.563 * X4) ^ 2) / ((0.000 * X4) - ((-0.029) * X2)))) / ((0.000 * X3) - ((-0.173) * X1))))),0.0797333601726547*X2*cos(1.0*X3)/(X1*X4**2),2.1887158392514398e-05,0.9999999715138997,75.04056859016418
2,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,(0.000 + (0.776 * ((cos((1.000 * X3)) / (((-2.084) * X4) / sin(sin(((-0.003) * X2))))) / ((1.736 * X1) * sin((0.009 * X4)))))),0.214493574037875*sin(sin(0.003*X2))*cos(1.0*X3)/(X1*X4*sin(0.009*X4)),2.1932807223802005e-05,0.9999999771884256,107.79533362388611
23,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,(0.000 + ((-0.008) * ((cos((1.000 * X3)) / (3.188 * X4)) / ((3.188 * X4) / ((7.219 * X2) / ((-0.076) * X1)))))),0.0747681803195981*X2*cos(1.0*X3)/(X1*X4**2),2.1955592046759924e-05,0.9999999745318314,103.11572480201721
7,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,(0.000 + ((-0.135) * ((cos(((-1.000) * X3)) / (((-0.616) * X4) - sin((0.029 * X4)))) * (((2.718 * X2) / (1.772 * X1)) / (4.026 * X4))))),0.0514334590399424*X2*cos(1.0*X3)/(X1*X4*(0.616*X4 + sin(0.029*X4))),2.1955597658476846e-05,0.9999999799999435,92.75094676017761
5,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,((-0.000) + (0.128 * ((((0.449 * X2) / ((-0.427) * X1)) / (4.169 * X4)) * (cos(((-1.000) * X3)) / (((-0.440) * X4) + sin((0.035 * X4))))))),0.0322846840429781*X2*cos(1.0*X3)/(X1*X4*(0.44*X4 - sin(0.035*X4))),2.197836221175525e-05,0.9999999738047763,91.81192135810852
29,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,((-0.000) + (1.170 * ((cos(((-1.000) * X3)) / ((-3.229) * X1)) / (((2.138 * X4) ^ 2) / (((0.007 * X4) ^ 2) + ((-1.004) * X2)))))),0.0792688239559039*(1.004*X2 - 4.9e-5*X4**2)*cos(1.0*X3)/(X1*X4**2),2.2001101124247724e-05,0.9999999710812407,86.53192472457886
21,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,(0.000 + (0.000 * ((sin((((-0.002) * X2) / ((-0.200) * X4))) / sin((0.001 * X1))) * (cos((1.000 * X3)) / sin((0.001 * X4)))))),0,2.20238144778811e-05,0.9999999743686636,109.17270994186401
19,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,(0.000 + ((-0.011) * ((cos((1.000 * X3)) / ((0.409 * X4) ^ 2)) / (((1.401 * X1) / (0.846 * X2)) / (((-0.854) * X4) / (0.409 * X4)))))),0.0829111348436894*X2*cos(1.0*X3)/(X1*X4**2),2.2023814752042755e-05,0.9999999790575017,62.22422766685486
