Numero_iteracion,Funcion,Original,Simplificado,RMSE,R2,tiempo
1,np.arcsin(lambd/(n*d)),(0.995 + ((-0.302) * ((((-0.607) * X1) / ((0.569 * X3) + (0.325 * X2))) / (((0.540 * X3) * (1.227 * X2)) + (0.416 + ((-0.842) * X1)))))),0.183314*X1/((0.325*X2 + 0.569*X3)*(-0.842*X1 + 0.66258*X2*X3 + 0.416)) + 0.995,0.003158090726021931,,39.07643103599548
27,np.arcsin(lambd/(n*d)),(0.993 + (0.349 * (((((-0.998) * X1) - ((-0.143) * X2)) / (((-1.748) * X3) - (-0.764))) / (((2.758 * X1) / ((-2.036) * X3)) + (1.418 * X2))))),-0.349*(0.998*X1 - 0.143*X2)/((1.748*X3 - 0.764)*(1.35461689587426*X1/X3 - 1.418*X2)) + 0.993,0.0033850183652581254,,40.18598985671997
14,np.arcsin(lambd/(n*d)),(0.996 + ((-0.034) * (((((-4.126) * X1) / (0.318 * X3)) / ((1.416 * X3) + (0.818 * X2))) / ((((-0.939) * X1) / (1.443 * X3)) + (0.681 * X2))))),(-0.44114465408805*X1 + 0.996*(0.650727650727651*X1 - 0.681*X2*X3)*(0.818*X2 + 1.416*X3))/((0.650727650727651*X1 - 0.681*X2*X3)*(0.818*X2 + 1.416*X3)),0.004626894346365338,,43.010520696640015
23,np.arcsin(lambd/(n*d)),(0.718 + ((-0.513) * (((((-0.166) * X3) / (1.198 * X2)) - (((-0.588) * X3) - ((-0.060) * X1))) / (((-1.052) * X3) - (((-1.278) * X1) / (1.244 * X2)))))),(0.03078*X1*X2 + 0.737623794212219*X1 - 1.05698*X2*X3 + 0.0710834724540901*X3)/(1.02733118971061*X1 - 1.052*X2*X3),0.004697309671028654,,39.34896397590637
11,np.arcsin(lambd/(n*d)),(0.984 + (0.156 * ((0.044 - ((0.422 * X1) / (((-1.057) * X3) + (0.186 * X1)))) / ((0.509 * X2) - ((0.831 * X1) / (1.678 * X3)))))),0.984 + 0.156*(0.422*X1/(0.186*X1 - 1.057*X3) - 0.044)/(0.49523241954708*X1/X3 - 0.509*X2),0.005371120666868399,,37.96228384971619
26,np.arcsin(lambd/(n*d)),(0.788 + (0.008 * ((((4.534 * X1) + (0.112 * X3)) / ((1.542 * X1) / (3.724 * X2))) / ((((-0.921) * X1) / (1.828 * X3)) + (0.513 * X2))))),(0.397017505470459*X1**2 - 0.491842526588846*X1*X2*X3 - 0.00216388067444877*X2*X3**2)/(X1*(0.50382932166302*X1 - 0.513*X2*X3)),0.006001823808849219,,42.04772973060608
18,np.arcsin(lambd/(n*d)),(0.985 + ((-0.636) * (((sin((0.631 * X3)) * (0.016 * X2)) + ((-0.184) * X1)) / (((1.445 * X2) * (0.434 * X3)) + ((-0.619) * X1))))),(0.492691*X1 - 0.61772305*X2*X3 + 0.010176*X2*sin(0.631*X3))/(0.619*X1 - 0.62713*X2*X3),0.007130043960295726,,40.33358693122864
12,np.arcsin(lambd/(n*d)),(0.985 + (0.535 * ((sin(((-0.955) * X1)) / (((-1.081) * X2) + log((1.311 * X1)))) / (((2.451 * X3) + ((-1.612) * X1)) + (0.430 * X2))))),0.985 + 0.535*sin(0.955*X1)/((1.081*X2 - log(1.311*X1))*(-1.612*X1 + 0.43*X2 + 2.451*X3)),0.0077960257253777004,,61.00556802749634
9,np.arcsin(lambd/(n*d)),(1.003 + ((-0.001) * (((((-3.174) * X1) / (0.011 * X3)) * ((0.800 * X1) / ((-0.706) * X2))) / ((0.693 * X1) + (((-1.188) * X2) * (0.696 * X3)))))),(-0.326963687870204*X1**2 + 1.003*X2*X3*(0.693*X1 - 0.826848*X2*X3))/(X2*X3*(0.693*X1 - 0.826848*X2*X3)),0.008943836902892438,,40.22854709625244
4,np.arcsin(lambd/(n*d)),(1.003 + ((-0.207) * ((((-0.520) * X1) / (((-1.551) * X2) * (0.233 * X3))) * ((0.194 * X1) / ((((-0.703) * X2) * (0.233 * X3)) + (0.137 * X1)))))),(-0.0577840130830725*X1**2 + 1.003*X2*X3*(0.137*X1 - 0.163799*X2*X3))/(X2*X3*(0.137*X1 - 0.163799*X2*X3)),0.008978014231831614,,38.977540016174316
