v0,v1,v2,resultado
3.4860117536759176,1.01091194499004,3.6553344156832805,5.148292885794167
3.2595602431545965,1.5093346815976645,3.8727658351633494,7.212506676063215
5.086267117336095,1.8236973019426839,4.162244711118383,6.4888384329990885
5.155601436581817,1.9478598753550413,2.826213547877823,4.542395435981881
8.119314076566143,1.44659942182681,3.3740857883310786,4.105564774492591
5.733845537061782,1.9803607625763322,2.6237328390152053,4.008029799852353
3.720042677382179,1.590584878701418,2.3584992910609377,4.120165247114915
8.537357676065483,1.8038850174167873,1.9820397734529651,2.513024605872778
6.651463653687609,1.4719959143429713,2.009646767581697,2.5807849578404354
7.358480677551834,1.4578174871249434,1.5415908300941052,1.9224561663411748
7.879013746008821,1.7898108080187463,3.294034128223338,4.262255740266177
4.2841070215162995,1.4634128095558467,4.510630553472046,6.850804296210778
5.2699588115485945,1.7922075468702743,4.341326872847233,6.578565304465549
7.9751022739491315,1.4771010610740358,2.7041460317869515,3.318842280986994
5.909136312304479,1.6055236072988754,1.691826029831895,2.322985666287681
8.77496810938186,1.4979236135775844,2.011508312509427,2.4255618203521676
7.23622392275442,1.032145064888299,3.208002577723548,3.741703728950558
4.999332703254153,1.6158808783322303,2.7973984696534844,4.133389915694901
9.388211509177161,1.6376279054861926,1.4120069265891138,1.7103511628374586
4.2263256986538025,1.8503927781306633,2.888418650984199,5.137938814551049
7.814747411265449,1.1427167434628396,4.436975833449502,5.196895388329572
4.367665593779048,1.3879310947370995,3.339586765943303,4.895133516002919
3.555681933908078,1.7061958333262348,1.8138263431337953,3.487125184394968
5.123663205617643,1.1964557838755638,3.14076872188625,4.097629539145894
3.392757722986989,1.8767840610765731,1.7762291268065784,3.9752109414441597
6.7898610619857855,1.2347672462824972,1.7788326456329417,2.1742254797263336
8.165692711325388,1.3158232298557995,2.1911566259559785,2.61206607488562
6.302768692937388,1.405273000198974,2.935215166990081,3.777437168341006
7.82093976092268,1.9394219021856773,2.0307641604290665,2.700405668880695
7.281790109177514,1.18311679712401,1.2254926356759657,1.4632330175315416
3.0322132413522604,1.422767721976082,4.001519472392523,7.538907147612211
7.562294193819058,1.9358830134398077,2.419375187289131,3.2518112069927394
3.007775807843283,1.1150826735307329,3.2034929076300833,5.090835008321091
5.157631557085672,1.1071996647567026,4.427526708916707,5.637806555146937
9.246937200606839,1.6559516120801503,4.752761449749748,5.789562652012736
9.715184811870078,1.7013340282727916,4.134990137141463,5.01284519295188
7.93137990427151,1.0806143843479683,2.675211457190598,3.097189405991408
5.383787085306715,1.5552370447753923,3.3682527773661963,4.73650745343686
7.765783242934664,1.8274454922982983,4.662864258675283,6.097799526512119
9.72409063571422,1.8631746776217681,2.731768022225586,3.3792448596936087
9.692074303870234,1.397304698413872,3.421842906630977,3.9982732836150987
4.592206145967433,1.6403148513889996,1.0431108259376454,1.622749440195804
8.206590606718219,1.9994065843661826,2.1695026561148976,2.868324840186765
3.916968112466226,1.0605284799718486,1.7686040542922723,2.425244911684635
5.35843724255171,1.5765508014964758,1.3233944530851383,1.8750764293226934
6.182942385135703,1.9483231007642545,1.434528796659508,2.0945469483640533
4.414559844991042,1.3574819769791144,2.910718720486739,4.203210561947755
5.624600946050089,1.9848973390564528,4.65203740890353,7.18900680838459
7.695454793766152,1.5079359514539394,2.2645420619371404,2.8164247269923597
6.66781661133197,1.7100421210420353,1.641907829558321,2.208236845311766
9.277179424413905,1.8367014383562767,2.2153245525203675,2.76218320859927
3.379793400362973,1.0875993791349754,4.0726795710748736,6.005083081377961
5.308158253659908,1.1880465874120478,1.2577462148243659,1.6204211176901213
6.910039575956169,1.507682113524257,4.887556816617649,6.251569109860242
3.891799955562373,1.5504168700033891,2.220953168159957,3.6916237648003136
4.69254884134708,1.4211602325812906,4.387536740012775,6.293575269702456
7.329949856184323,1.2614474396123208,2.6461281376975814,3.19617349239158
8.099101902958974,1.1348448181744946,3.206537592860203,3.7290516998551104
8.086072783702408,1.899388659594254,3.3743675019622694,4.4103401228295835
5.473977580888263,1.3577757812030544,1.6743657477882343,2.2266742525356613
6.572201923487959,1.5093909109189902,2.33224166780552,3.0275598155129435
3.021726735432038,1.161880697953384,2.623662178910091,4.262713144525808
