v0,v1,v2,v3,resultado
3.180858531081231,3.0244324603961186,2.8676148424003283,2.0638571435067186,5.18576132230939
4.142714271825538,3.1148643775460094,3.1077257644577747,4.292731652399141,12.340102189997582
3.710017892494605,2.0742129792507358,3.196837404750338,3.485945858125991,10.54283897833303
2.4507540020482845,2.595366137426473,3.100117412404839,3.0516994243075457,8.963490862639855
3.125901102303681,2.089113238301177,2.6415765563262856,2.194060028005147,5.291631366707185
2.8599745167395825,2.6594506291214532,4.907221941123992,3.6524164099604133,17.324767481218526
3.0626952066386246,2.606742455498474,1.3801949326974219,4.704888943731617,5.879050583852886
2.023320604225118,3.1485345393616333,3.647130335907472,1.8695722530624455,6.324184716539693
3.5131821752892662,4.7121085113414996,1.1639870732893849,4.959705510599619,4.555526476243534
1.3533207485359902,1.3413463755645583,2.5139550854861183,3.21354467328535,7.935113203817608
4.754864821298382,2.237125127180965,2.7322164416854697,4.916610213812275,12.604535018825857
3.380027099516047,2.9780053359829988,2.4455114244866643,3.9450952343197305,8.868927075522198
2.3286102967042672,3.0023788064387227,4.561323218869906,2.258223516015218,9.754146573076532
4.554426496660069,4.54046913348186,2.760184783220573,3.7799585927510706,8.874157214075334
4.772972209576226,2.360634063755776,2.9741068613283113,2.0125034602054646,5.133486410155195
4.726211659400304,1.4440324630558576,3.024984239656033,4.485290206897835,13.032077295650977
1.2782594889778953,1.1420770969638072,4.526107290541628,4.972623162176577,22.390652996934314
3.2714542128257182,4.69218507437852,1.6256947429657465,2.3446209703254692,2.71970823813572
3.3117042942763932,3.7791393624312293,2.3175386514497687,3.2501494380172935,6.580247874274256
2.538249525966453,4.595705355452044,4.161637234195478,3.9908116248642744,15.697326152852254
3.1108703976951073,4.651112954071629,2.636668361640934,2.523618409442261,5.568819080315723
1.2442589102037358,1.682344279594612,4.391174332079762,4.623971187752323,20.138541835403537
4.6398882779000665,3.3217634889133043,3.9920146635177476,3.919208608429965,14.451077939117646
2.2089560834127657,1.4685827131479972,4.49837994076104,2.1198365953898954,9.280007771143081
3.274458932292,3.140594917735174,2.7585931661229255,1.22273518257308,2.620598209205847
4.507518458746203,3.7314163709000785,2.242924925255145,2.31492607688483,3.9682599542732304
3.9520886530807138,4.45769874301574,3.374092859257317,1.7114741067536912,4.485745909099596
2.5677030684800304,2.97943897319025,1.7210365223158202,4.082877418609012,6.4355613823711835
2.397236125948766,1.9853206627218531,1.0460989879040379,3.125688663044864,2.9056575861606384
2.9815611023619515,4.413471316996933,2.0788644096807527,4.93479241797287,9.247206603557162
2.350390252623177,4.227045622162837,2.1301224370603133,2.320605819623726,4.194635079568398
3.7585076927581267,1.6712775835642182,3.859112515304705,4.774467487424199,17.929860734490028
2.874181081314697,4.259469640124318,3.144352384464413,4.701490318241154,13.830310810500574
3.1535316011425003,4.048527631486534,3.4550154266446347,4.214228849892011,13.567870581829812
2.9969899429582676,2.392545540287909,3.8642919451027877,4.041223955490248,15.05281319780956
1.9423824892945052,3.9231462726924127,2.9115708941118883,1.5744318967101805,4.004377734770332
3.748375684766519,1.5890723554947104,3.429930157480619,2.4102481184155256,7.802041385221732
3.2835515073554165,1.291617837899032,1.1621296151751737,4.3262327525833,4.697697220046526
1.567391449012848,4.284374536190029,3.595733176655834,3.94640451194591,13.662539142610962
