v1,v2,v3,v4,v5,v6,resultado
2.1273019400453412,2.1124626677966356,1.7909821016032683,2.2113600309283097,2.188154275785081,1.7512485226624994,0.839587193600567
2.179293519797768,1.6501292048107592,2.8379225372203303,2.3545641294476045,1.6378157947393008,2.097830134153866,1.0505158633816605
1.251692995648411,2.2575918511959836,2.0267099784996283,2.9340061400549926,1.4623483128113124,1.500307459916874,0.664384134386163
2.2922739699600054,1.0290745432509352,1.5426448005753592,1.677421349887546,2.922771582259259,1.5158226630041836,1.6114529778135067
2.809351189773151,2.5863871224023196,1.9158228461968518,2.580448220605525,1.7080655141056642,2.9458462594491674,0.3940352276737808
1.7169720698674387,1.1328763991660653,1.172666826786032,2.578884519507133,1.7129448975156714,2.399408254672155,-2.775942971055502
2.4630972908917768,1.1227175926738708,1.6719339644399784,2.2968009079763574,1.8982724943436196,2.265077790791535,-1.2825577942524686
1.9362065856137392,2.0889895524379716,1.8478256135501052,1.2183063342532658,1.737474533764608,1.734268266761026,2.458007647139762
1.138364038046889,1.6806157276551965,2.612676138015858,2.5207730526473746,1.2400089959880387,2.840226811683216,0.3956694796008408
1.5959560289276893,1.7357347651650838,2.0145834002677754,2.9370027057489336,2.615987814893664,1.0481268247596478,0.370638645755286
1.6361644231946735,2.461612816645855,2.3298418738254303,2.6544908639967826,1.5391223932678308,2.7966593198613117,0.5510014868103288
1.1844363316522233,2.117499269805009,2.480629923208334,2.655619098784513,1.6336261486920747,2.9002125266900345,0.23978916359169772
1.7482008865159275,2.4894020717445913,2.677712793950538,2.147917797978036,1.210384389359658,1.328002098305254,1.5181945572085336
1.4383329433529835,1.328796390402742,2.691988242836814,1.0720841599723197,1.0720035751591652,2.4737132468681664,1.9483318245766115
2.3310355213369913,2.993138005364829,2.2788058759380143,2.4286183418758878,2.7149732655866523,2.477353982508192,0.5923088626327591
1.0560318298083713,1.4145152812863686,1.3702626213994962,1.5637507202203247,2.405557386706806,1.6842460188919048,1.071584379607888
2.112564832046061,1.8932315445065766,2.883547331991166,2.406770134371796,2.9726319189750106,1.499653490522646,0.8326361058025528
1.5456706744867876,1.865868500702057,2.9113690060166144,1.6014392606534145,1.969434577875627,2.896785060935538,1.4959360450946384
2.3638508137903393,2.8917841549690624,2.0127046660072763,1.1486027058953134,2.699675563438194,2.4018958233956793,3.442976494883341
1.8948556156581595,2.617991970717996,1.7070069466895816,1.794791080063001,2.8414593450565584,2.8138323603783193,1.1418256586235975
1.9546420751848956,2.442735458957392,2.689065831577607,1.4263035073435546,2.465802290816435,2.9005315181126488,2.261091783494631
1.0619268746362462,2.69126378125915,1.6728606754782198,2.596414749735122,1.15887872286579,2.373421355735509,0.5072049576399825
1.0987574540341791,2.9934499962670342,2.289126433204963,2.687056791927842,2.951180583143151,1.0251143070522013,0.6629152897920896
2.1116149825692396,1.3217079204129538,1.1310925099963565,2.0484019730554417,2.8727784451239984,1.0769069955925228,0.10301913096449555
2.7147091966124917,1.8267202755391896,2.8239829926577067,2.675981714149717,1.8689536912905342,1.0935630382644332,1.753652152166486
1.492018032034845,2.6440350632224368,1.3053582494138514,2.3279116634632038,1.9798871647122689,2.5286887123155406,0.005532319499835398
1.5355220485489538,2.0404787705775496,1.826207241890889,2.4771765956797998,2.252317829835904,2.6882708355810316,-0.4287614236973558
