1.53863,1.39006,1.67005,1.37492,3.15627,1.9257,3.49825,1.52149,3.15805,0.42908
1.75717,1.80646,1.41805,1.93069,3.1369,1.47004,3.39248,1.62854,3.62093,0.49354
1.303,1.20974,1.22029,1.79936,3.7649,1.96524,3.39033,1.13528,3.77425,0.14959
1.56603,1.261,1.77358,1.37231,3.83119,1.02361,3.59092,1.94749,3.17419,0.24766
1.47998,1.39321,1.40968,1.39797,3.77197,1.50646,3.73145,1.61372,3.86887,0.18546
1.22568,1.16933,1.30906,1.26521,3.1738,1.30124,3.77642,1.11959,3.29683,0.12931
1.39018,1.08464,1.9975,1.14066,3.67252,1.42949,3.69992,1.77485,3.69725,0.19736
1.86577,1.36739,1.31058,1.29009,3.8421,1.75758,3.76431,1.53595,3.58966,0.22657
1.80145,1.66487,1.00197,1.27589,3.23256,1.00829,3.26297,1.11952,3.65424,0.19594
1.46812,1.4867,1.94288,1.07137,3.02528,1.36921,3.50254,1.90694,3.93191,0.34009
1.4484,1.21202,1.04537,1.08116,3.4654,1.63723,3.33677,1.81379,3.26772,0.17172
1.4247,1.28761,1.07485,1.90095,3.47798,1.39183,3.86356,1.08539,3.97174,0.11648
1.41134,1.48436,1.05411,1.19097,3.03405,1.55192,3.39835,1.10368,3.19611,0.19744
1.70966,1.67129,1.43423,1.97794,3.15667,1.68472,3.10651,1.92319,3.95514,0.54353
1.2337,1.55161,1.04806,1.80494,3.73091,1.6334,3.07095,1.23428,3.91888,0.15453
1.30228,1.62249,1.73103,1.9126,3.71678,1.3404,3.45947,1.20378,3.28182,0.30319
1.71699,1.69159,1.62467,1.02779,3.22076,1.18118,3.64217,1.33237,3.26581,0.32312
1.67427,1.72266,1.01771,1.23049,3.84037,1.93591,3.85067,1.0195,3.14801,0.19558
1.96658,1.40767,1.68996,1.54632,3.23791,1.96243,3.13303,1.08759,3.40875,0.48633
1.64549,1.50559,1.0831,1.04263,3.9391,1.233,3.81027,1.42321,3.85093,0.12823
1.83476,1.78759,1.55548,1.44244,3.63508,1.01209,3.33856,1.89782,3.56087,0.39286
1.91126,1.09669,1.12109,1.43489,3.79232,1.61107,3.00011,1.14142,3.78723,0.1622
1.60494,1.94465,1.08776,1.25799,3.09669,1.78211,3.0028,1.39395,3.46768,0.37017
1.03545,1.93062,1.27824,1.91187,3.90007,1.433,3.95605,1.50575,3.09026,0.19917
1.23158,1.76901,1.63395,1.35104,3.876,1.72848,3.78547,1.60361,3.40902,0.25673
1.66521,1.32697,1.89965,1.30975,3.84644,1.99089,3.19359,1.81686,3.68568,0.36906
1.85289,1.26349,1.94123,1.44552,3.53851,1.18055,3.93845,1.93226,3.67935,0.30219
1.41651,1.22709,1.74923,1.01215,3.88017,1.81424,3.39873,1.53624,3.84056,0.18948
1.62036,1.50387,1.04097,1.54441,3.78141,1.03087,3.33615,1.80877,3.66103,0.18449
1.26673,1.50894,1.44256,1.11767,3.22633,1.90246,3.91319,1.91701,3.91453,0.22095
1.92565,1.52354,1.78747,1.34364,3.30815,1.61431,3.60629,1.62811,3.90985,0.40235
1.58462,1.93613,1.31149,1.71827,3.09443,1.87862,3.65515,1.76208,3.55788,0.48626
1.16163,1.37472,1.12394,1.84601,3.88141,1.31075,3.91296,1.18961,3.24819,0.11845
1.37323,1.0453,1.19128,1.7122,3.30729,1.14261,3.35445,1.67198,3.50107,0.1586
1.68425,1.21517,1.06932,1.05741,3.74131,1.54497,3.59019,1.18212,3.51036,0.13021
1.56342,1.34657,1.01481,1.81719,3.44858,1.57174,3.90939,1.14278,3.12622,0.17715
1.06265,1.72102,1.95943,1.96376,3.48513,1.14186,3.3695,1.20612,3.72484,0.26309
1.17972,1.49972,1.57596,1.93622,3.53649,1.45371,3.22407,1.59416,3.47487,0.30202
1.0174,1.68961,1.30769,1.57241,3.97282,1.80502,3.64704,1.37289,3.67886,0.15532
1.37055,1.5224,1.55536,1.83073,3.5895,1.85536,3.81853,1.33306,3.36339,0.29317
1.90142,1.37284,1.81042,1.10722,3.25756,1.92823,3.89863,1.52359,3.97167,0.32593
1.48239,1.09373,1.80275,1.22604,3.78016,1.22193,3.79971,1.04252,3.81004,0.14033
1.75685,1.69421,1.28544,1.52563,3.44115,1.32105,3.1696,1.36163,3.67508,0.3076
1.39234,1.88727,1.07771,1.30271,3.23881,1.6786,3.26924,1.063,3.44926,0.23653
