4.03945,1.45148,2.78299
3.34075,2.07404,1.61075
3.83203,1.90667,2.0098
1.32122,1.72671,0.76516
2.49669,4.03567,0.61865
3.55192,4.46236,0.79597
3.95906,4.46846,0.886
2.24028,3.27018,0.68506
3.83284,3.12956,1.22472
3.75178,1.65663,2.26471
3.11758,1.33325,2.33834
2.20761,1.12771,1.9576
1.43205,3.85284,0.37169
3.31942,1.37745,2.40983
1.21825,2.34758,0.51894
3.70965,1.00042,3.7081
3.00183,4.21315,0.71249
3.56393,2.00411,1.77831
3.00145,1.20696,2.48679
3.0719,4.63957,0.66211
4.50292,4.81123,0.93592
2.6032,1.59228,1.63489
2.77857,1.90649,1.45743
3.90613,2.84935,1.37089
3.99448,4.05499,0.98508
2.90027,1.20402,2.40883
1.002,3.16061,0.31703
4.29331,1.61419,2.65974
4.82788,1.95889,2.4646
2.95748,1.21103,2.44212
4.80987,1.84539,2.60642
2.81843,2.86152,0.98494
2.65725,2.15181,1.23489
2.73214,2.80323,0.97464
4.75727,3.6868,1.29035
3.12596,1.52476,2.05014
3.21864,1.46286,2.20025
2.14211,3.4235,0.62571
2.07777,1.18668,1.75091
4.84295,1.24191,3.89959
2.6858,1.7945,1.49668
4.88193,4.68347,1.04238
4.77803,1.805,2.64711
1.12974,2.078,0.54367
4.2836,1.10842,3.8646
4.47105,3.77651,1.18391
1.76151,3.08678,0.57066
3.67282,3.23984,1.13364
3.60432,2.67026,1.3498
3.34169,2.21371,1.50954
4.89876,4.62341,1.05956
3.57342,3.93037,0.90918
2.92285,3.12539,0.9352
1.02356,3.77308,0.27128
2.51432,1.8659,1.34751
1.02907,4.62606,0.22245
3.53798,2.34076,1.51146
4.47696,1.01962,4.39083
2.78462,3.08295,0.90323
2.17158,2.95226,0.73557
3.80421,2.17514,1.74895
3.40014,3.40798,0.9977
3.12627,4.56766,0.68444
3.72499,1.34494,2.76964
4.1394,1.77281,2.33494
3.17107,1.9856,1.59703
2.21283,2.67514,0.82718
3.59933,4.28912,0.83918
4.92145,4.9029,1.00378
