1.02269,2.20011,2.01246,1.65675,2.18001,0.27635
1.92668,2.37453,1.38914,2.21778,1.45378,0.61335
1.8952,2.33703,1.13603,2.73253,2.93581,0.89797
1.59053,2.73018,2.70421,1.63917,2.04662,0.17397
1.83157,2.73125,1.9283,1.40565,1.43483,0.13379
1.31479,2.97129,1.83446,2.8342,2.34758,0.48525
1.65054,2.95511,2.62779,2.96987,1.44463,0.26308
2.42378,2.48423,1.3487,1.01418,1.29979,0.18966
1.25211,1.42105,2.8924,1.05846,1.62063,0.11309
1.32001,2.86882,2.19519,1.79599,2.88133,0.35938
1.04451,2.03407,2.83949,2.83086,2.80645,0.40926
2.14049,1.99213,1.23496,2.04581,2.47133,0.95494
1.25286,2.12297,1.61582,1.42666,1.98928,0.34346
2.67245,2.155,1.98474,1.43785,2.38717,0.70993
1.54795,2.78459,1.36594,2.58193,1.69215,0.55146
2.41619,2.5187,1.17388,2.17898,1.18627,0.69885
1.67769,1.06711,2.98072,2.38957,2.70141,0.74639
1.24985,1.88449,2.44741,2.77111,1.58817,0.39027
1.64147,1.33576,1.52766,2.8811,1.95506,0.76967
1.46717,1.22061,1.62164,2.49437,2.23152,0.68952
2.86484,2.31561,2.84328,2.443,1.44224,0.43185
1.04966,2.41813,2.15129,2.43228,2.87209,0.40674
1.01792,1.94857,1.24544,2.43408,1.53572,0.41778
1.74095,2.31611,1.29822,2.16446,2.62337,0.76123
2.43367,1.15311,2.34646,2.30027,2.60035,1.10214
2.27379,1.35411,2.87121,2.26365,2.79884,0.95195
1.43455,2.90566,1.90973,1.7567,2.16991,0.31732
2.50561,2.01716,2.60762,2.13123,2.74478,0.87471
2.25424,1.00405,1.7079,2.20501,1.81617,1.03113
1.73939,2.11148,2.69615,2.42992,2.25888,0.54773
1.71866,2.25209,2.40112,1.57136,2.07129,0.31496
2.92914,2.00706,1.69073,2.83976,2.29756,1.2866
2.36984,1.60597,2.1842,1.55752,1.69489,0.58642
2.20716,1.84327,2.86143,2.43341,1.98798,0.66656
