v1,resultado
3.67379,0.99644
3.39365,0.95681
2.75816,0.85416
1.57175,0.59629
2.30760,0.76823
2.59133,0.82378
3.47744,0.96899
3.31649,0.94534
2.77540,0.85721
3.21026,0.92913
1.51513,0.58105
0.79272,0.35289
1.59078,0.60134
2.86714,0.87318
1.27769,0.51337
1.38256,0.54404
0.63153,0.29160
0.77300,0.34563
2.55285,0.81654
1.48253,0.57213
1.67267,0.62266
0.69127,0.31484
3.44122,0.96376
1.65327,0.61767
2.34459,0.77576
2.11486,0.72740
1.33970,0.53166
2.97322,0.89109
1.71739,0.63403
3.51563,0.97445
3.70004,1.00001
2.50126,0.80669
3.08136,0.90877
2.52533,0.81131
1.01066,0.42909
0.78890,0.35149
0.75708,0.33972
3.88152,1.02394
0.83542,0.36840
3.84856,1.01968
1.31461,0.52431
0.73614,0.33188
2.45057,0.79686
2.91536,0.88139
2.85465,0.87103
2.62667,0.83035
2.17196,0.73977
2.37584,0.78206
3.81670,1.01553
3.56910,0.98199
2.22719,0.75152
2.04851,0.71271
2.05287,0.71369
3.03298,0.90093
3.76531,1.00875
0.67514,0.30863
2.95883,0.88869
2.20108,0.74599
1.67474,0.62319
1.91109,0.68118
3.20656,0.92855
2.15122,0.73531
3.97677,1.03605
2.65563,0.83568
2.23722,0.75363
3.99638,1.03851
3.69514,0.99934
3.18566,0.92530
1.14053,0.47124
2.51503,0.80934
3.36239,0.95220
2.32326,0.77143
2.97336,0.89111
2.54449,0.81496
1.93222,0.68613
1.71182,0.63262
0.92873,0.40129
2.61648,0.82846
1.75057,0.64234
3.55703,0.98030
3.96047,1.03400
1.20258,0.49059
2.02996,0.70854
0.71362,0.32337
3.08205,0.90888
2.55292,0.81655
0.55649,0.26148
3.62457,0.98970
3.16361,0.92185
1.88667,0.67542
0.83406,0.36791
2.37133,0.78116
2.21084,0.74806
1.84606,0.66572
3.28484,0.94056
3.05164,0.90397
3.66626,0.99542
2.82577,0.86603
2.85497,0.87109
3.92710,1.02978
