v1,resultado
3.79447,1.51891
1.02345,0.65002
2.20098,1.11896
1.12038,0.69728
2.06992,1.07623
3.21246,1.39420
1.56228,0.89065
3.17995,1.38662
2.52971,1.21822
3.49612,1.45750
2.88868,1.31529
0.83378,0.55171
2.65069,1.25216
2.45716,1.19722
1.03363,0.65507
1.10792,0.69131
2.20916,1.12156
0.54667,0.38619
0.88543,0.57929
3.02853,1.35031
3.73944,1.50795
3.94363,1.54781
1.33207,0.79415
1.57780,0.89685
2.58618,1.23422
1.46394,0.85048
3.35452,1.42654
2.44091,1.19245
3.96812,1.55245
2.27979,1.14375
1.47804,0.85633
1.44953,0.84446
2.06804,1.07560
2.23481,1.12968
3.57776,1.47481
3.35478,1.42660
1.67988,0.93676
1.48085,0.85749
3.51288,1.46109
1.65729,0.92806
2.03125,1.06325
2.63918,1.24899
3.51978,1.46256
0.66552,0.45735
2.58111,1.23280
2.15301,1.10354
2.56360,1.22786
1.26853,0.76594
2.47031,1.20106
3.93617,1.54639
0.76014,0.51129
2.57159,1.23011
2.12093,1.09309
2.24233,1.13205
3.56327,1.47176
3.00882,1.34546
1.87081,1.00747
1.27435,0.76855
2.33668,1.16124
1.60389,0.90720
2.23182,1.12874
3.26043,1.40527
2.77848,1.28663
3.97810,1.55433
3.44847,1.44722
0.76980,0.51667
3.75761,1.51159
0.77449,0.51927
3.93136,1.54548
0.82562,0.54730
3.46050,1.44983
1.36053,0.80655
3.29833,1.41391
3.75242,1.51055
1.44188,0.84126
3.94333,1.54775
1.63983,0.92128
3.99607,1.55771
1.49873,0.86486
1.76822,0.97009
3.26736,1.40686
1.39273,0.82042
0.98121,0.62882
2.91540,1.32210
0.70289,0.47893
1.37438,0.81254
2.91949,1.32313
0.67905,0.46520
3.13248,1.37541
3.77924,1.51589
2.05903,1.07259
3.62739,1.48514
2.21741,1.12418
0.52839,0.37489
1.98754,1.04837
3.21687,1.39523
2.78962,1.28958
3.74276,1.50862
0.92148,0.59817
2.09966,1.08609
