Original,R2,Modelo,RMSE
exp(-theta**2/2)/sqrt(2*pi),0.9999999951544188,0.399*exp(-0.500166*X1**2*cos(0.008*X1)),2.5820255773319347e-05
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9836995984538471,((exp(0.388*X1) - cos(0.434*X1))*(0.103*sin(exp(0.292*X1)) + 0.042) + 0.103*cos(0.976*X2))/(exp(0.388*X1) - cos(0.434*X1)),0.005182953460444076
q2*Ef,0.9999999999999792,1.003591276*X1*X2,2.1415062309177094e-07
q*(Ef+B*v*sin(theta)),0.9656057811428653,2.78016*X1*(0.086*X2 + 0.932*X4)*(0.472*X3 - 0.058*X5)*sin(sin(0.96*X5)) + 6.637,4.618694683166922
1/2*m*(v**2+u**2+w**2),0.9335529075055995,12.697*(1.02*X2 + 0.386*X3)*(0.205*X3 + 0.393*X4)*exp(0.049*X1)*sin(0.12*X1) + 5.209,5.263643161654636
G*m1*m2*(1/r2-1/r1),0.9999999999999855,0.997605372009724*X1*X2*X5*(X3 - X4)/(X3*X4),2.0371009739948263e-07
m*g*z,0.9999999999999936,0.997402684278*X1*X2*X3,7.763229662181325e-07
1/2*k_spring*x**2,0.9999999999999636,0.49734279936*X1*X2**2,4.7555958275540566e-07
(x-u*t)/sqrt(1-u**2/c**2),0.9907898337081416,1.01426*X1 + 0.81968*X1*exp(-0.641*X3) - 0.98274368*X2*X4 - 0.121,0.1334859970605231
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.9988356761341163,(-0.354418439716312*X1 + X2*(0.951552*X4 + 0.123) + 0.352541330357143*X3*X4 - 0.342702127659574*X3)/X2,0.0443327968544122
m_0*v/sqrt(1-v**2/c**2),0.9998044098605253,(1.194142822565*X1*X2**2 - 0.932385092555*X1*X2*X3 - 0.18832*X2 - 0.459952*X2/cos(0.21*X1) + 0.14704*X3)/(1.177*X2 - 0.919*X3),0.025528571443523055
(u+v)/(1+u*v/c**2),0.9324502232557185,4.648*sin(0.291*X1)/cos(0.024882*X1*X3) - 0.648,0.3113460375428893
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9393769169071302,0.094 + 0.651*exp(-0.885*X1)*cos(0.797*X2 - 0.804*X3),0.010664364142156827
(m1*r1+m2*r2)/(m1+m2),0.9470182102649164,0.097308*X1*sin(1.0*X4) - 0.146574*X2*sin(0.976*X4) + 0.490518*X3 + 0.3825*X4 + 0.432,0.2107047541078243
r*F*sin(theta),0.9999999885091245,74802.547*sin(0.004*X1)*sin(0.004*X2)*sin(1.0*X3) + 0.001,0.0007311749057695588
m*r*v*sin(theta),0.9999988807923497,0.9993607857*X1*X2*X3*sin(1.0*X4) - 0.013,0.022462023547036757
1/2*m*(omega**2+omega_0**2)*1/2*x**2,0.9922509559590023,0.229209927552*X1*X4**2*(0.77*X2 + 0.667*X3)*(0.77*X2 + 0.766*X3) + 0.46,0.7076394616225509
q/C,0.99999999999998,0.998982456140351*X1/X2,3.458538842391871e-08
np.arcsin(n*sin(theta2)),0.9989262543536708,2.24846*X1*sin(0.993*X2) - 1.159*sin(1.097*X1)*sin(0.988*X2) - 0.004,0.01049724951487821
1/(1/d1+n/d2),0.9909838906865143,(0.0762931034482758*X1*(1.115*X2 + sin(0.649*X1)) + X3*(0.236*sin(0.46*X2 - 0.335*X3) + 0.337))/X3,0.031891616087378484
omega/c,0.9999999999999789,0.999522875816994*X1/X2,3.006553766265322e-08
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),-0.16350334351982054,(1.2*X4 + 0.083*(0.121623*X2*X4**2 + 1.02816901408451*X3)*(3.102*X1 + 2.097*X2 - 0.757*X3))/X4,2.0968370325852175
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,0.1277689271317597,2.20561721413721*X1*X3*exp(-0.521*X3)/(X2*sin(0.573*X2)) + 0.927466652806653*X3*exp(-0.521*X3)/sin(0.573*X2) - 0.341,1.3985356366144608
sqrt((x2-x1)**2+(y2-y1)**2),0.40110193546546535,-0.17619*X2 + 0.21893928*(0.893351800554017*X1 - X2)**2 - 0.105*exp(sin(0.597*X3) - cos(1.055*X4)) + 2.457,0.6364140401165078
np.arcsin(lambd/(n*d)),0.9998366974386717,(-2.59581599999956*X1 + 1.13035485199543*X2*X3)/(0.558*X1 - 2.761297*X2*X3),0.0017545161853785723
q**2*a**2/(6*pi*epsilon*c**3),0.9999999999999978,0.054056808679203*X1**2*X2**2/(X3*X4**3),1.2097031606589163e-08
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),0.9616168576364714,(-5.968256448*X1*X3*(0.066*X2 + 0.311*X4) - 1.5386867*X5**2 + 2.159278*X6)/(0.47815*X5**2 - 0.671*X6),1.1736083141932
q*v*B/p,0.9999999999999765,0.968308583990536*X1*X2*X3/X4,3.90156213233877e-07
omega_0/(1-v/c),0.9978723655181787,0.0740329411764706*X1*X3/X2 + 0.19173375*X3 - 0.004 + 3.338563921875*X2*X3/X1,0.08537714625533285
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.9964268791105815,0.895104*X3 + 0.027 + 1.61900307692308*X2*X3/X1,0.10267130545419222
(h/(2*pi))*omega,0.9999999999999746,0.158804393*X1*X2,3.884640663808247e-08
I1+I2+2*sqrt(I1*I2)*cos(delta),0.9014018063457703,0.491288*X1 + 0.491288*X2 - 0.52638*X3 - 17.546*sin(0.522*X3) + 16.576,0.9681588965032822
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),0.9999999999999449,0.31981519300633*X3**2*X4/(X1*X2**2),2.0419240877309226e-08
3/2*pr*V,0.9999999999999826,1.51151616*X1*X2,4.1818979555273846e-07
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.8443812027956847,(0.88107543062201*X1*X2*X3*(0.46*X7 + 0.318*X9) - 0.001*X4*X8)/(X4*X8),0.04251553139131826
1/(gamma-1)*pr*V,0.9996130903529761,0.03261195*X2*X3/(sin(0.0255785007072136*X1)*sin(0.355*X1)) - 0.005,0.07962693182063496
n*kb*T/V,0.9999999999999766,0.997632454564819*X1*X2*X4/X3,3.0471146590557187e-07
n_0*exp(-m*g*x/(kb*T)),0.7890632021781678,(-0.158*X3*(-0.516*X1 + 2.303*X2 + 0.995*X5) + 4.62533606557377*X6*sin(0.333*X4))/(X3*(-0.516*X1 + 2.303*X2 + 0.995*X5)),0.3047500468499424
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.9778813270704185,(0.021735*X1 - 0.144396*X5 - 1.62*(0.115*X1 - 0.06*X5)*(0.81081*X2*X4 - 0.764*X5))/(0.115*X1 - 0.764*X5),0.1422105504787215
mu_drift*q*Volt/d,0.999999999999987,0.990087578442106*X1*X2*X3/X4,1.8254172116106454e-05
mob*kb*T,0.9999999999999863,0.995198899968*X1*X2*X3,9.382845368728475e-07
1/(gamma-1)*kb*v/A,0.9999569012913899,-0.001 + 1.05190967668071*X2*X4/(X1*X3*sin(sin(0.304*X1))),0.012709535597227435
"n*kb*T*log(V2/V1,e)",0.9440320455909429,-0.075756*X3*(2.444*X1 - 0.344*X5)*(3.209*X2 - 0.342*X4)*(0.796*X4 - 0.797*X5) - 0.168,6.091690489045166
