Original,R2,Modelo,RMSE
exp(-theta**2/2)/sqrt(2*pi),0.9999970465787981,0.188 - 0.196*sin(sin(0.581*X1) + sin(0.872*X1 - exp(0.283*X1)) - exp(-0.94*X1)),0.00013662553597487874
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9848640928813814,(0.210672*X1*X2 + 0.587*sin(cos(0.813*X1 - 1.231*X2)) + 0.08*cos(1.363*X1))/(2.6334*X1*X2 + cos(1.363*X1)),0.00500253296519711
q2*Ef,0.9999999999999891,0.998739252*X1*X2*cos(3.70407211917772e-5*X2**2/X1**2),2.1415062309177094e-07
q*(Ef+B*v*sin(theta)),0.9632597040217448,6.09752*X3*(1.077*X1 - exp(0.307*X1)*cos(0.271*X4))*sin(0.966*X5) + 8.182,4.773628552191273
1/2*m*(v**2+u**2+w**2),0.9381129947988615,0.846999482496*X1*X2*X4 + 2.06622*X1*exp(0.401*X3) + 1.544367*X2 - 4.567,5.0798197997816406
G*m1*m2*(1/r2-1/r1),0.9999995779835095,0.998602712550607*X1*X2*X5/X4 - 0.997728279352227*X1*X2*X5/X3 - 0.009,0.004903488987268564
m*g*z,0.9999999999999744,1.003069615284*X1*X2*X3,7.763229662181325e-07
1/2*k_spring*x**2,0.9999999999999772,0.4995805176*X1*X2**2,4.7555958275540566e-07
(x-u*t)/sqrt(1-u**2/c**2),0.9995807148605554,1.024648*X1 + 3.08151509481969*X2**2/X3**2 - 1.015293704*X2*X4 - 0.166,0.028467441996405947
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.99652401053513,-0.034336*X1 + 1.029007*X4 - 1.073*cos(0.045*X2) - 1.073*cos(11.490950876185*cos(0.776*X4)**2/X2**2) + 2.064,0.07659721965648167
m_0*v/sqrt(1-v**2/c**2),0.9995106090556266,1.04963508*X1*X2 - 0.154 + 8.517*exp(-1.2189349112426*X3/X2),0.04039863097575197
(u+v)/(1+u*v/c**2),0.9511033069122414,-0.046852767*X2*X3*sin(0.96*X1) + 5.069*sin(sin(0.295*X1)) - 0.4,0.264899243627182
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9514140350256163,0.796*sin(exp(-1.086*X1))*cos(0.866*X2 - 0.872*X3) + 0.111,0.00954339194062792
(m1*r1+m2*r2)/(m1+m2),0.8898663100001355,-0.0789305*X1*X4 + 0.22352*X1 + 0.02794*X2 + 0.49276*X3 + 0.73152*X4 - 0.699,0.3037870993718142
r*F*sin(theta),0.9999999022152312,0.992900776*X1*X2*sin(1.0*X3) - 0.002,0.002124159660480623
m*r*v*sin(theta),0.999999937506853,1.00156538232*X1*X2*X3*sin(1.0*X4) + 0.003,0.005300810885211692
1/2*m*(omega**2+omega_0**2)*1/2*x**2,0.9922429220307705,0.03169179027*X1*X4**2*(2.008*X2 + 1.923*X3)*(2.173*X2 + 1.934*X3) + 0.463,0.7080138518719036
q/C,0.9999999999999863,0.995943396226415*X1/X2 + 0.00277358490566038,3.458538842391871e-08
np.arcsin(n*sin(theta2)),0.9989902542507492,1.9779*X1*sin(0.995*X2)*cos(0.173*X1 + cos(0.756*X1)) - 0.008,0.010186854980399212
1/(1/d1+n/d2),0.9843751987803936,0.064655*X2 + 0.439571600481348*X2*sin(0.244*X1)/X3 - 0.071288*X3 - 0.067*cos(0.977*X2) + 0.418,0.041995417569861165
omega/c,0.9999999999999766,1.00067243035543*X1/X2,3.006553766265322e-08
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),0.05154168748855825,(-0.544*X4 + 0.084*(2.56701030927835*X3 + 1.106*X4**2)*(1.207*X1 - 0.350658*X2*X3 + 2.63*X2))/X4,1.8931709158160428
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,0.1750099612106416,(0.899184*X1 - 0.245232*X3 + 1.122*(1.187*X2 - sin(0.51975*X2*X3))*sin(0.613*X2))/((1.187*X2 - sin(0.51975*X2*X3))*sin(0.613*X2)),1.3601365963710361
sqrt((x2-x1)**2+(y2-y1)**2),0.7846755770051883,-1.731*sin(1.153*X3*exp(-0.307*X4)) - 1.731*cos(0.559*X1 - 0.572*X2) + 4.42,0.3815900227278935
np.arcsin(lambd/(n*d)),0.9998774667501755,2.099*exp(0.444762958126826*X1/(X2*X3)) - 2.095,0.001523920024450321
q**2*a**2/(6*pi*epsilon*c**3),0.7643607740448073,(-0.001*X4**2 + 0.037*(5.71069182389937*X1 - 1.96501457725948*X3)*(1.57081236520489*X2 - 0.319*X3*X4))/X4**2,0.43335518770586257
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),-8351.981711902168,(-0.546532*X1 - 0.353427648*X3*X4*exp(1.034*X5) - 1.24117*X5 + 1.079505*X6)/(0.524*X1 + 1.19*X5 - 1.035*X6),547.4845518370325
q*v*B/p,0.9999999999999694,1.00091156604902*X1*X2*X3/X4,1.8264843516541948e-05
omega_0/(1-v/c),0.9998105698814957,(X1*(1.493*X1 - 0.327*X2)*(1.110816*X3 + 0.006) + 4.8011348383745*X2**2*X3)/(X1*(1.493*X1 - 0.327*X2)),0.02548530457077473
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.9964224396113109,0.897711999999999*X3 + 0.026 + 1.61357870629723*X2*X3/X1,0.10272846210432705
(h/(2*pi))*omega,0.9999999999999583,0.158979765*X1*X2,3.884640663808247e-08
I1+I2+2*sqrt(I1*I2)*cos(delta),0.9535793688693452,0.553711*X2 - 12.877*sin(0.503*X3) - 12.877*cos(sin(0.274*X1*cos(0.495*X3))) + 24.334,0.6643037029254776
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),0.9999999999999002,0.315976256021442*X3**2*X4/(X1*X2**2),2.0419240877309226e-08
3/2*pr*V,0.9999999999999483,1.5002106*X1*X2,4.1818979555273846e-07
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.8443901065891334,(0.197039895998099*X1*X2*X3*(2.045*X7 + 1.415*X9) - 0.001*X4*X8)/(X4*X8),0.04251553139131826
1/(gamma-1)*pr*V,0.9998931467115578,0.1130013*X2*X3 + 0.002 + 3.48001594992068*X2*X3/X1**2,0.04185162444142289
n*kb*T/V,0.9999999999999608,1.010408576*X1*X2*X4/X3,1.835829306169673e-05
n_0*exp(-m*g*x/(kb*T)),0.903012023877081,0.223*(2.788*X4 + 8.43846153846154*X6/X3)/(0.787*X2 + 0.446*X5 + cos(0.403*X1)) - 0.643,0.20665017031680205
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.9928805889841544,(0.159093282708871*X1*X2*X4*(0.514*X1 + 0.068*X2) - 0.018*X5**2)/X5**2,0.08069776273308892
mu_drift*q*Volt/d,0.9999999999999927,1.00084950172839*X1*X2*X3/X4,3.473130644090316e-07
mob*kb*T,0.9999999999999761,0.997983217272*X1*X2*X3,9.382845368728475e-07
1/(gamma-1)*kb*v/A,0.9999498311051646,0.0594579264214047*X2*X4/(X3*sin(0.057*X1)*sin(sin(0.298*X1))),0.013712189642643322
"n*kb*T*log(V2/V1,e)",0.9533890904945761,-4.548798*X2*(1.328*X4 - 1.327*X5)*(0.070658*X1*X3 - 0.012054*X4*X5) - 0.326,5.5591840860153
sqrt(gamma*pr/rho),0.9915924341965388,0.145010590909091*X1*X2/X3 + 0.13386*X1 + 0.147149*X2 - 0.135509*X3 + 0.818,0.05653572804982136
m*c**2/sqrt(1-v**2/c**2),0.9999521253044199,(2.04592123958333*X1*X2 + X3*(0.44456445*X1*X3*(0.378*X2 + 2.216*X3) - 0.62))/X3,0.597530123943753
m_0/sqrt(1-v**2/c**2),0.9998479118136933,1.870924*X1*cos(cos(0.048*X2)) + 1.870924*X1*exp(-1.27243066884176*X3/X2) + 0.001,0.015506875338950767
x1*(cos(omega*t)+alpha*cos(omega*t)**2),0.4219426773874285,-0.0219563714645066*X1*X2**3*X3**2*sin(0.809782*X2*X3) + 0.768,1.2536871810623846
kappa*(T2-T1)*A/d,0.9999999999999883,0.998935913043478*X1*X4*(-X2 + X3)/X5,1.23553401938288e-07
Pwr/(4*pi*r**2),0.9999999999999941,0.0792529545352196*X1/X2**2,1.562961437684401e-09
q/(4*pi*epsilon*r),0.9999999999999817,0,1.0373829821631594e-09
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,0.9937627595000165,0.227602905569007*exp(0.393*X2 - 1.245*X4)*cos(0.99*X3)/X1,0.0015211835910464583
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),0.9224005285091145,(-6.125*(0.225*X1 - 1.14*X2)*(0.048*X5 + 1.211*X6) + 0.01*exp(3.897*X3)*sin(0.225*X1))*exp(-3.897*X3)/sin(0.225*X1),0.05377220316202231
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,0.9999990885834084,0.000208346840023811*X2*sin(2.0*X3)/(X1*X4*sin(0.001296*X4**2)),1.8257424230910185e-05
3/5*q**2/(4*pi*epsilon*d),0.9999999999999656,0.0493217629289952*X1**2/(X2*X3),2.5058513732212035e-09
epsilon*Ef**2/2,0.9999999999999865,0.4988262816*X1*X2**2,1.834376776767325e-05
sigma_den/epsilon*1/(1+chi),0.9999999986423599,1.048662*X1/(X2*(1.050225*X3 + 1.049)),1.8257421950754215e-05
x1*y1+x2*y2+x3*y3,0.972914738378156,0.995804*X1*X4 + 0.98922976*X2*X5 + 2.951157*X3 + 2.866562*X6 - 8.239,1.6083618439089211
q*Ef/(m*(omega_0**2-omega**2)),0.9986502459067467,(0.470411418520051*X1*(1.953*X2 - 0.022*X3) + 0.002*X3*X4*(1.1*X4 - 0.843*X5))/(X3*X4*(1.1*X4 - 0.843*X5)),0.0043320919249451185
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),0.9301486798977566,(0.824148*X1*X2 - 6.05784*X2*X3 - 2.61892902319044*X5*exp(0.675*X6)*cos(0.961*X4))/(X2*(0.468*X1 - 3.44*X3)),0.6354589053770927
n_rho*p_d**2*Ef/(3*kb*T),0.999999999999964,0.329918763595765*X1*X2**2*X3/(X4*X5),1.4477985557802704e-07
n*alpha/(1-(n*alpha/3))*epsilon*Ef,0.9973877607102161,0.54115682*X1*X2*X4*(0.9027683*X1*X2 + 1.995056*X3) - 0.026,0.044949406724690256
1+n*alpha/(1-(n*alpha/3)),0.9999983712598131,1.024*exp(exp(0.356475*X1*X2)) - 1.784,0.0002516553038592624
1/(4*pi*epsilon*c**2)*2*I/r,0.9999999999999658,0.161191872310831*X3/(X1*X2**2*X4),5.638986868251575e-10
rho_c_0/sqrt(1-v**2/c**2),0.9991732804601062,0.359601723419041*X1*X2/X3 + 0.94752*X1 + 0.003,0.03346015480791143
rho_c_0*v/sqrt(1-v**2/c**2),0.9980532982240496,1.160308524*X1*X2 - 0.169848*X1 + 2.12514013452915*X2/X3 + 0.5055*cos(1.676*X2) - 0.1885,0.09444659181359016
-mom*B*cos(theta),0.9999999947150056,-0.976956786000001*X1*X2*cos(1.0*X3),0.0003719530715252861
-p_d*Ef*cos(theta),0.9999989238074354,0.847504*X1*X2*(0.069*cos(0.086*X3) - 1.246)*cos(1.0*X3) + 0.001,0.006280122761845654
