Original,R2,Modelo,RMSE
exp(-theta**2/2)/sqrt(2*pi),0.9999999923290105,0.399*exp(-0.49918*X1**2),3.162298938872456e-05
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.9852855363605116,(0.078591*X1 + 0.09*exp(0.250446*X1**2) + 0.201*cos(1.022*X2))*exp(-0.250446*X1**2),0.004927034414451565
q2*Ef,0.9999999999999856,0.998580864*X1*X2,2.1415062309177094e-07
q*(Ef+B*v*sin(theta)),0.9735026676259071,1.45234089*X1*X4*(0.702*X3 - 0.257*X5 + sin(0.481*X5))*sin(0.959*X5) + 5.237,4.0539373884570065
1/2*m*(v**2+u**2+w**2),0.9162863568720004,0.95051145317*X1*X2*X4 + 1.526488576*X1*X3*(0.054*X1 + 0.296*X3) + 3.52,5.908081480360912
G*m1*m2*(1/r2-1/r1),0.9553549847446401,(0.38*X4 + 7.14592067307693*X5*(0.282*X3 - 0.307*X4)*(0.548*X1 + 0.442*X2 - 0.435*X3))/X4,1.5902020180806842
m*g*z,0.9999999999999867,0.999779612832*X1*X2*X3,7.763229662181325e-07
1/2*k_spring*x**2,0.9999999999999807,0.49875618858*X1*X2**2,1.8045142285416235e-05
(x-u*t)/sqrt(1-u**2/c**2),0.9971494144367253,1.021802*X1 - 1.002870076*X2*X4*cos(exp(-0.188*X3)) + 0.733*exp(exp(-0.405*X3)) - 0.878,0.07425027973272623
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.9950421039370412,(-0.074464*X1 + 0.084488*X2 + 0.121004*X3 + 1.865896*X4)*cos(cos(exp(-0.267*X2))) - 0.432,0.09147650464024179
m_0*v/sqrt(1-v**2/c**2),0.9998460984639307,(-0.87023385*X1*X2**2 + (1.531*X2**2 - 3.70851063829787*X3)*(0.96094215*X1*X2 + 0.019))/(1.531*X2**2 - 3.70851063829787*X3),0.022636069894976192
(u+v)/(1+u*v/c**2),0.9598017288598546,(-0.197796*X1 - 1.43682*X3 + (0.891576*X2 + 10.647672*X3)*sin(0.217*X1))/(0.212*X1 + 1.54*X3),0.24018186418100007
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.8412172987047621,(0.679704*X1 + 0.113*exp(1.586*X1) - 0.762*sin(cos(2.72169811320755*X2/X3)))*exp(-1.586*X1),0.017259936410233986
(m1*r1+m2*r2)/(m1+m2),0.8995728092859469,0.50167*X3 + 0.227*exp(0.432*X4) - 0.227*cos(0.063001*X2**2) - 0.227*cos(0.443*X2 - 1.225*X4) + 0.712,0.29008171369343305
r*F*sin(theta),0.999999846653143,1.508088*X1*(0.699*X2 - sin(0.036*X2))*sin(1.0*X3) - 0.002,0.0026581384174935293
m*r*v*sin(theta),0.9999873146968473,1.591046766*X1*X2*(0.576*X3 + sin(0.053*X3))*sin(0.999*X4) - 0.046,0.0755989516919978
1/2*m*(omega**2+omega_0**2)*1/2*x**2,0.9540810569169318,0.99405816*X1*X4*(0.393*X2 + 0.323*X4)*(0.224162*X2*X4 + 1.331*X3) - 2.888,1.7226074061726058
q/C,0.999999999999976,0.99956675248253*X1/X2,3.458538842391871e-08
np.arcsin(n*sin(theta2)),0.9989194158251927,10.756*exp(0.216225*X1**2)*sin(0.092*X1)*sin(1.0*X2) - 0.003,0.010545316874124414
1/(1/d1+n/d2),0.9805815789877104,0.0801981615969582*X1*X2/X3 + 0.087192*X2 - 0.08694*X3 - 0.063*cos(1.037*X2) + 0.448,0.04680081627138707
omega/c,0.9999999999999791,1.0003950834065*X1/X2,3.006553766265322e-08
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),0.3790363288667218,4.905 - 3.657*cos(0.209*X1 + 0.235*X2 + 1.39275766016713*cos(2.6728624535316*X4/X3)/X4),1.5318350315721077
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,0.8769624201639595,(1.02626*X1 - (0.552*X2 + 0.081*X3)*(2.116*cos(1.0101*X2*X3) + 0.316)*sin(0.596*X2))/((0.552*X2 + 0.081*X3)*sin(0.596*X2)),0.5252648622136787
sqrt((x2-x1)**2+(y2-y1)**2),0.8487779825259397,1.103*sin(0.0961*X3**2 - 0.845*X4) - 1.103*cos(0.842*X1 - 0.869*X2) + 2.962,0.3197863374360687
np.arcsin(lambd/(n*d)),0.9998760196228869,2.103*exp(0.445380192728156*X1/(X2*X3)) - 2.098,0.0015368820561956144
q**2*a**2/(6*pi*epsilon*c**3),0.8379385440662077,-0.017 + 0.014012810256358*(0.62*X1 + exp(cos(0.693*X3)))**2*(0.956*X2 + cos(0.636*X4))**2/X4**2,0.3593838014474385
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),0.9213699631623393,(19.9899672421086*X1*X3*X4 + X6**2*(-0.51216*X6 + 1.32*cos(3.066*X5)))/(X6**2*(0.388*X6 - cos(3.066*X5))),1.6797556692754576
q*v*B/p,0.9999999999999759,0.999642620897071*X1*X2*X3/X4,3.90156213233877e-07
omega_0/(1-v/c),0.9980066559749987,0.0680636412172985*X1*X3/X2 + 0.243445871559633*X3 - 0.01 + 3.25270733944954*X2*X3/X1,0.08263719309594939
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.9964225774763433,0.894621*X3 + 0.026 + 1.61184421621622*X2*X3/X1,0.1027176497989019
(h/(2*pi))*omega,0.9999999999999886,0.15904672*X1*X2,1.8272640290696647e-05
I1+I2+2*sqrt(I1*I2)*cos(delta),0.92405493088531,-3.3615*cos(0.228*X1) + 6.723*cos(1.004*X3) + 6.723*cos(1.36425648021828*sin(0.999*X3)/X2) + 2.9445,0.8496922964580911
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),0.999999999999967,0.317821328904876*X3**2*X4/(X1*X2**2),2.0419240877309226e-08
3/2*pr*V,0.9999999999999838,1.500240786*X1*X2,4.1818979555273846e-07
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.8443765646600835,(0.379827237257956*X1*X2*X3*(1.043*X7 + 0.721*X9) - 0.001*X4*X8)/(X4*X8),0.04251915796369355
1/(gamma-1)*pr*V,0.9998931546147802,0.11345256*X2*X3 + 0.002 + 3.50226853047521*X2*X3/X1**2,0.041845243067154335
n*kb*T/V,0.9999999999999633,0.997604543778802*X1*X2*X4/X3,3.0471146590557187e-07
n_0*exp(-m*g*x/(kb*T)),0.7950895341677454,-0.109 + 1.46245805213174*X4*X6/(X2*X3*(0.692*X5 + 1.62058303886926*X4/X1)),0.3003676154676379
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.9928480902210021,(0.0563507437265633*X1*X2*X4*(1.434*X1 + 0.19*X2) - 0.018*X5**2)/X5**2,0.08087398832875164
mu_drift*q*Volt/d,0.9999999999999907,1.00960314*X1*X2*X3/X4,3.473130644090316e-07
mob*kb*T,0.9999999999999796,1.00059817914*X1*X2*X3,9.382845368728475e-07
1/(gamma-1)*kb*v/A,0.9999317362461092,-0.006 + 0.469645838293197*X2*X4*exp(0.127*X1)/(X1*X3*sin(0.157*X1)),0.015994476261966793
"n*kb*T*log(V2/V1,e)",0.9101186600854844,(-1.701532*X2*(0.763*X4 - 0.775*X5)*(0.243*X3*exp(1.548*X5) + 1)*exp(0.376*X1) - 0.094*exp(1.548*X5))*exp(-1.548*X5),7.719741518040242
sqrt(gamma*pr/rho),0.9966965476335581,4.229 - 3.647*exp(-0.123634191176471*X1*X2/X3),0.03543776099627739
m*c**2/sqrt(1-v**2/c**2),0.9999939587065779,1.25048*X1*(0.4761*X2**2 + 0.797449*X3**2) - 0.063,0.21226617736447004
m_0/sqrt(1-v**2/c**2),0.9996683329841131,((0.637*X1 - 1.291*X3)*(1.015*X1 - 0.054) - 0.494816*(X2 - 0.0598404255319149*X3)**2)/(0.637*X1 - 1.291*X3),0.022890828916369853
x1*(cos(omega*t)+alpha*cos(omega*t)**2),0.4525873223332618,-0.009991100196*X1*X3**2*exp(1.366*X2)*sin(0.805959*X2*X3) + 0.814,1.219998484162364
kappa*(T2-T1)*A/d,0.9999999999999534,0.998975258947368*X1*X4*(-X2 + X3)/X5,1.8307407043734093e-05
Pwr/(4*pi*r**2),0.9999999999999855,0.0813644566039932*X1/X2**2,1.562961437684401e-09
q/(4*pi*epsilon*r),0.9999999999999846,0.0795973619178039*X1/(X2*X3),1.0373829821631594e-09
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,0.9999994085018947,0.0673998387425158*(1.181*X2 - 0.000441*X4**2)*cos(0.999*X3)/(X1*X4**2),3.1623260781663e-05
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),0.9261637836843984,-0.009 + 0.781544184824484*X2*X6/(X1*X3**5),0.05244372468355959
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,0.9999873466194475,0.119196315340817*X2*sin(1.999*X3)/(X1*X4**3),6.582790018975525e-05
3/5*q**2/(4*pi*epsilon*d),0.9999999999999722,0.0478363324764353*X1**2/(X2*X3),2.5058513732212035e-09
epsilon*Ef**2/2,0.99999999999998,0.50012110764*X1*X2**2,4.4370282467093465e-07
sigma_den/epsilon*1/(1+chi),0.9997899178943311,0.287375126390293*X1*exp(-0.194*X3)/X2 + 0.27299177783072*X1/(X2*X3) - 0.001,0.004106699381287869
x1*y1+x2*y2+x3*y3,0.9584234158748354,0.279*(1.778*X1 + 1.72*X5 + 1.613*X6)*(-0.019*X1 + 0.744*X2 + 0.701*X3 + 0.698*X4) - 0.19,1.9926903028606162
q*Ef/(m*(omega_0**2-omega**2)),0.9986725064063084,2.15812*X1*X2/(X3*(0.042*X3 + 1.584*X4)*(1.634*X4 - 1.267*X5)) + 0.001,0.004303448821965544
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),0.9433113131958707,1.83 + 1.25192665507974*X5*X6*exp(0.236*X1)*cos(0.97*X4)/(X2*X3),0.5724663985055579
n_rho*p_d**2*Ef/(3*kb*T),0.999999999999973,0.3331607683412*X1*X2**2*X3/(X4*X5),1.4477985557802704e-07
n*alpha/(1-(n*alpha/3))*epsilon*Ef,0.9999874916089719,0.970078319501088*X1*X2*X3*X4*exp(0.422928*X1*X2) + 0.004,0.0031080642715703155
1+n*alpha/(1-(n*alpha/3)),0.9999983355459692,1.024*exp(exp(0.3564*X1*X2)) - 1.784,0.0002568995381128485
1/(4*pi*epsilon*c**2)*2*I/r,0.9999999999999806,0.158205068573987*X3/(X1*X2**2*X4),5.638986868251575e-10
rho_c_0/sqrt(1-v**2/c**2),0.9993842959782511,0.232463076923077*X1*X2/X3 + 0.97992*X1 - 0.18*sin(6.6304347826087*X2/X3) + 0.143,0.02887391491606328
