Original,R2,Modelo,RMSE
exp(-theta**2/2)/sqrt(2*pi),0.9999999995841174,0.399*exp(-0.500627*X1**2*cos(0.000607573201*X1**4)),2.620381955651744e-09
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),0.988666888874436,-0.093726*X1 - 0.123*cos(0.434*X2 - cos(0.468*X1)) + 0.575 - 0.14954953076121*X2/X1,0.0043272010336175976
q2*Ef,0.9999999999999772,0.99808772*X1*X2,2.1415062309177094e-07
q*(Ef+B*v*sin(theta)),0.9807570436455496,0.66550176*X1*X4*(1.532*X3 - cos(1.12*X2 - 0.978*X5))*sin(0.967*X5) + 7.274,3.4547146109621854
1/2*m*(v**2+u**2+w**2),0.9178219528581251,2.924*(1.031*X1 - 0.04*X4)*(0.33696*X2*X4 + 0.174303*X3**2) + 3.765,5.8536593104510946
G*m1*m2*(1/r2-1/r1),0.99999999999999,1.00178339311259*X1*X2*X5*(X3 - X4)/(X3*X4),2.0371009739948263e-07
m*g*z,0.9999999999999742,0.997755542784*X1*X2*X3,1.826748778843519e-05
1/2*k_spring*x**2,0.9999999999999711,0.499153274424*X1*X2**2,1.8045142285416235e-05
(x-u*t)/sqrt(1-u**2/c**2),0.9912998477981908,(-0.272493*X1 + (2.466*X2 - 1.938*X3)*(0.99873*X1 - 1.531386*X2 - 1.554813*X4 + 2.318))/(2.466*X2 - 1.938*X3),0.12972910145041935
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.9935467065882925,-0.033867*X1 + 0.016325325*X3**2 + 1.045107*X4 + 0.477*exp(-0.963248*X1*X2 + 1.586328*X1*X3) - 0.093,0.10436412220733056
m_0*v/sqrt(1-v**2/c**2),0.9998576480017304,1.028198166*X1*X2 + 1.64330761070025*X2**2/(0.304243394715773*X1 - X3)**2 - 0.129,0.021781029323106604
(u+v)/(1+u*v/c**2),0.969171766871297,2.211*sin(0.322*X1) + 0.953 - 2.211*exp(-2.92397660818713*cos(0.258*X2)/X3)*cos(0.601*X1),0.2103323633942337
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.7671657652302145,0.061 + 0.339*(sin(0.77*X2) - exp(-1.47*X1))/(exp(0.549*X1) + sin(0.559*X2 - 1.305*X3)),0.020897098129939253
(m1*r1+m2*r2)/(m1+m2),0.8673111720208324,-0.049980198*X3*X4 + 0.666582*X3 - 0.020886*X4*(0.733*X1 - 0.917*X2) + 0.602862*X4 - 0.358,0.3334435163503358
r*F*sin(theta),0.9999992547922919,1.10659626000003*X1*X2*sin(1.0*X3)/cos(0.008*X2) - 0.005,0.005872038081548459
m*r*v*sin(theta),0.9999998464273098,0.9992311224*X1*X2*X3*sin(1.0*X4) + 0.005,0.008305330718301878
1/2*m*(omega**2+omega_0**2)*1/2*x**2,0.9709195856530957,0.119019652034*X1*X4**2*(1.597*X2 + 0.362*X3)*exp(exp(0.21*X3)) - 0.441,1.370854687882166
q/C,0.9999999999999865,1.00154424778761*X1/X2,3.458538842391871e-08
np.arcsin(n*sin(theta2)),0.9978945880272051,14.39*(exp(0.149*X1) - cos(0.2401*X1**2))*sin(sin(0.49*X2))*cos(0.501*X2) + 0.005,0.01470803622078239
