v0,v1,v2,v3,v4,v5,v6,v7,resultado
1.5280410582523118,2.2370819292522492,2.516011184206729,1.8771601917811394,2.854054413383711,2.6951237295088086,2.2928672420365768,1.2295858169019267,0.8039059997555807
2.66607574530705,2.7205308083036686,2.4732846515004745,1.667696782649488,2.021677284864351,1.1439605353028657,1.6263910502913566,2.9914562451294655,3.0503279129928225
1.34050172970865,2.6098615447258995,1.3027527423910295,1.7750618044180704,1.4803512105763936,2.621023848181471,1.6718369997890732,2.649248754772793,1.8232247539240924
1.5655240829283987,1.116943723393784,1.8230832420719019,2.877965285040326,2.3453668325177093,1.4137463085998345,2.3452910858892557,2.4492683012823466,0.5536915476519457
2.727913000712385,1.9725094609082605,2.58511671204423,1.108250327441334,1.0781862940931888,1.3740870173539934,2.0300952564626424,2.2962619624723484,2.2944309935501863
2.298535396783252,1.54965561360623,1.0010805229488453,1.733016159833942,2.6837280757256603,2.901691203849543,2.7710600791447173,1.351774658300697,2.268836526464193
1.075345430575408,2.8887200047508506,2.238069209825479,1.3731421816537903,2.980845348046106,2.3091093973940455,1.3269203733220145,2.046205699362786,1.535742714211604
2.3540246594677123,1.8992168793009319,2.9965898852481234,2.7751975607446315,1.8254180053699403,1.2278250613271846,1.0088358722179944,2.6414310145725812,1.6298357254771165
1.8140284167557998,2.1811072780799874,2.1117363258633617,2.201204658923124,1.1615986644611014,1.2291929864461435,2.386739770868835,1.863978128175025,0.9718523502462477
2.770676393155484,1.9332184005625856,2.894220298637633,1.815783864495138,1.201323651015257,2.3912019788576995,2.5502908979079613,2.5168856382290867,1.1217257431230006
1.9789590859701125,1.3859959831648037,1.254960169015142,1.0048015163502098,1.5654584026015288,2.5428548562316218,1.9837917465123738,1.6471432087673439,2.5795231083390875
1.000312198790476,2.32484030521997,2.8126829714559003,1.8678411446229801,1.8028184811992447,1.1154008138164164,1.9184631973797823,1.2115595331837343,0.5439633036454757
2.2315316614038587,1.9322484818405963,1.963231524632354,1.8540573206797462,1.5516242069746928,1.2538671173036615,2.1146127665993912,1.2772161543154863,1.4012925876429179
2.04438770522769,1.8946392399811613,2.046574588192886,2.655114706804121,2.9020406806878887,2.7106573455756164,1.3613348087033126,2.298076615292702,1.21229587070513
2.861115023764621,1.052098089506787,2.0677664086917247,1.1591549919315647,1.2718895090788886,2.199707028712715,1.6198767659769173,2.4062245127234734,1.8888015775038922
2.273948810864527,1.566340211789117,1.976057593447537,1.6875799873769632,2.4873658670630503,1.8587520162140383,2.821385751649122,1.297234434697153,1.2167836156358716
2.41438255558372,2.776301740265998,1.910078750726861,1.22675160554046,1.879530983113103,1.4566646374382146,1.4478689334651125,2.1104375875681356,4.199100613587132
2.292913126213951,2.528727569282654,1.2079927553239451,2.647323110074442,2.2256564152038383,2.3958070199340527,2.0256070981532304,2.383108680359762,2.199947795942121
1.5875595753037097,2.7311111473869896,1.2183819020685027,1.8187460499167927,1.8220321167879767,2.3791984139562725,2.4927981431097272,2.2341899454755625,2.153916469432925
