v0,v1,v2,v3,v4,resultado
2.4315509848036028,2.7269221601612554,2.3348952674956776,3.7633553008319898,2.4432762690182344,1.5304784322018796
2.9048268879201404,3.17552167093109,3.372761617980117,2.9840609001249905,4.788597030940065,2.304617396014834
3.8528220623531113,3.6807584470139285,1.9487310937803874,3.488674780442412,2.4136113745301833,4.026766226832764
1.0266254237054082,3.498809784705868,3.544633582080074,3.918776074915631,4.63305450289795,0.8178712003847409
4.120468417040907,4.045166024763665,2.307482494261827,2.695843546754584,4.330035248558451,4.442734248094033
3.5343697559084957,2.3814520520292994,2.2984654253357966,2.8699062529517154,4.203355603456901,1.2730590342403
1.5139762510575232,3.1112104855412728,4.651013599836879,1.897368173894424,1.7721233405368886,6.757073574839222
2.725042651756829,4.631971476782677,4.683165536106495,2.122498894522188,1.8731912132363675,22.95586841323849
1.7413417336498047,1.2815625593255824,2.2792319265598473,2.7983433083109714,4.051029343093507,0.19167457675125962
1.0912039880565993,1.863481346510249,1.7170542773524895,2.382755900499494,4.083651546943999,0.2228899990416314
2.0578395112710606,3.756739196077306,1.0334388646059263,1.4540466793040867,3.6179386285398603,1.901768215087951
2.8791685269313336,1.6543181193108163,2.034856028468685,4.751531784801873,3.3273510578085816,0.3380534002973673
2.943033678480418,1.5616935028502614,2.778224181624647,2.1026548602761785,1.2988455037197744,2.4339260821229485
4.035572497145089,3.7121035564136933,2.7393101470359422,1.0879104927116252,3.9449534953434378,11.831238744052497
4.193394081179602,1.277027233199111,4.0616219922860175,4.837812891475208,4.07433249985851,0.4697196268820349
3.4304904426831646,2.8691211194359605,2.9641287897030546,2.4855374663530596,3.9369895326161517,2.8513151331608326
1.252410294003722,1.3124618021390408,4.932046724992931,3.444138689623438,1.8657456997174098,0.5519412090583146
1.7482655905485203,2.3507463308605234,3.88827615542576,3.740422840444672,1.6495660634900315,2.0293846795768684
4.3595544227936,1.4098050916245022,2.281077553439739,4.341784392695278,4.970717218304072,0.30527535084535196
4.692819650112706,4.898430744018105,3.632209709451595,2.993783621391465,4.9682206889797875,9.165922518695945
3.0252025077276525,1.4823139051537888,2.0211444365967215,1.9192709718222662,2.062510119231586,1.131301934968318
1.8472653302999866,2.213860815379883,2.0539560927468234,1.4528899023454103,1.0386802234762187,4.107572513041172
1.2153333215999695,3.075979448072453,2.6172946671152806,1.510776157352213,3.212619644070986,2.0669701123690296
3.380044862074391,2.049850510105391,4.920589107653381,3.9875867810163266,3.3920049077937113,1.7222495176974006
1.119813564951444,4.254489451326696,4.894967644621195,4.2999489002958375,2.9419563599763765,2.614385802535003
3.1846840962713503,3.8540781037153535,4.508688325965911,3.485524769370028,3.009437498310637,6.777707783988482
1.200363501579087,1.5836347403296873,1.2316136002861264,1.8434825387202567,2.7115703951718384,0.24723851801254862
1.8932105713930962,3.1944871488008175,4.965669504020715,3.402921911072424,4.2669501796416265,2.202359503126761
2.8842034555701854,2.788470768155414,2.890142056145957,4.019801782824866,1.1028811391560458,4.8732946640631125
3.9579191918929424,4.9570089032153835,1.006342369574634,1.9266382252232277,2.571754830802665,6.58417078340989
4.330441263624277,1.8775258476317944,4.976625879157205,2.0343491814440684,2.8918531435804797,4.304433546998079
4.3607198611865154,3.8908658922044888,1.963055977304606,4.760512979841902,1.608854574247769,5.640162256057902
3.4649015315755336,4.016295586908635,4.560121648472807,3.697838695388629,3.2547501472868805,7.058814816360162
2.9361584593967978,3.2665670720169437,4.508829012174265,1.2974622500962245,4.549829965828193,7.9765531530123805
2.4926515753847456,2.878102369837112,4.723768141666001,2.6127512360112974,1.2516874390074206,9.941396906426588
2.651314995182089,4.073941255534724,4.751970564795635,1.1484849693771162,1.0710497992356527,56.6641475924257
3.7322471571601534,1.9465174438911594,4.08830955985778,4.475252548042323,2.9496796224107027,1.4598798600854799
4.119979982823072,1.7926042267752726,4.25281410220069,4.57914548269009,2.9730168907155363,1.378596795598174
1.2488452555607585,4.35558094536051,1.6015748419919604,1.5096379080953413,2.6983319901007405,3.1049786279164424
4.004500754960585,3.664710340917075,3.07485818104403,4.56319348949753,3.8336229357103546,3.1510351194896
1.101570507296414,1.1688436834037588,2.558897844150729,2.8189771510508486,2.955195427625746,0.15409164805010042
4.61878947797058,4.209736596964346,3.627236687589843,1.269464285849597,2.4063404050940274,32.397768935593945
